id,name,price
1,"Wine - Red, Mouton Cadet","136,27"
,Wine - Barolo Fontanafredda,"84,35"
,"Bread - Pita, Mini","190,03"
,Rum - Mount Gay Eclipes,"59,42"
5,Beer - Blue,"132,70"
6,"Napkin - Dinner, White","60,57"
,Turkey Leg With Drum And Thigh,"92,67"
,Appetizer - Tarragon Chicken,"134,72"
9,"Stock - Veal, Brown","17,01"
,Wine - Segura Viudas Aria Brut,"91,95"
11,Beef - Texas Style Burger,"72,38"
12,Parsley - Dried,"124,81"
13,Juice - V8 Splash,"12,50"
,Jello - Assorted,"127,49"
15,Sauce - Hollandaise,"81,56"
16,Soup V8 Roasted Red Pepper,"175,10"
17,Kumquat,"46,68"
18,"Mushroom - Oyster, Fresh","148,35"
,Chutney Sauce,"16,07"
20,Quail - s,"159,46"
21,"Juice - Grape, White","32,41"
22,"Wine - Saint - Bris 2002, Sauv","170,21"
23,Eggplant Italian,"164,58"
24,Cheese - Ermite Bleu,"140,39"
25,Truffle - Peelings,"132,41"
26,Dehydrated Kelp Kombo,"63,27"
27,Oil - Olive Bertolli,"87,11"
,Honey - Lavender,"185,54"
29,Sauce Bbq Smokey,"43,15"
30,Alize Red Passion,"88,74"
31,Sage Ground Wiberg,"126,19"
32,Pastry - Key Limepoppy Seed Tea,"50,46"
,Wine - Delicato Merlot,"199,95"
34,Cleaner - Bleach,"124,12"
35,Table Cloth 54x72 Colour,"147,43"
36,Container Clear 8 Oz,"190,98"
37,Ice Cream - Turtles Stick Bar,"48,17"
,Sobe - Liz Blizz,"131,99"
39,Container - Foam Dixie 12 Oz,"191,26"
,Green Tea Refresher,"88,66"
41,Carbonated Water - White Grape,"114,13"
42,Mackerel Whole Fresh,"76,68"
,Bread - Frozen Basket Variety,"27,45"
44,Compound - Passion Fruit,"177,03"
,Bread - Dark Rye,"66,09"
,Dehydrated Kelp Kombo,"15,26"
,Wine - Placido Pinot Grigo,"74,19"
48,Cheese - Cambozola,"185,18"
49,Peas - Frozen,"75,55"
50,Icecream Bar - Del Monte,"191,55"
,Compound - Pear,"145,17"
,Ezy Change Mophandle,"162,86"
