id,name,price
1,"Rum - White, Gg White","25,78"
2,Juice - Happy Planet,"24,02"
3,Cheese - Mix,"78,93"
4,Vodka - Smirnoff,"130,10"
5,"Bread - Roll, Italian","41,23"
6,Canadian Emmenthal,"187,79"
7,"Artichoke - Bottom, Canned","167,95"
8,Nescafe - Frothy French Vanilla,"104,20"
9,Chocolate Liqueur - Godet White,"39,89"
10,Versatainer Nc - 888,"181,08"
,Langers - Ruby Red Grapfruit,"28,83"
12,"Lemonade - Kiwi, 591 Ml","122,19"
13,Dc Hikiage Hira Huba,"158,04"
14,Port - 74 Brights,"55,89"
15,Creme De Menth - White,"47,66"
16,Coffee - Almond Amaretto,"170,40"
17,"Chicken - Leg, Boneless","45,23"
18,Cardamon Ground,"141,48"
19,Rhubarb,"140,67"
,"Pepper - White, Whole","41,38"
21,Bread - Calabrese Baguette,"94,84"
22,Pepper - Chili Powder,"58,26"
23,"Roe - Lump Fish, Black","110,18"
24,"Wine - Red, Lurton Merlot De","77,58"
25,Flour - Cake,"165,89"
26,Coffee Decaf Colombian,"191,70"
27,Olives - Nicoise,"142,86"
28,Bread Foccacia Whole,"27,36"
29,Bar Bran Honey Nut,"102,80"
30,Beef - Shank,"194,29"
,Butter Ripple - Phillips,"25,45"
32,Artichoke - Fresh,"75,43"
33,Peas Snow,"101,55"
34,Flour - Bread,"71,92"
35,Longos - Lasagna Veg,"47,09"
36,Dried Figs,"27,35"
37,Haggis,"114,14"
38,Crab Meat Claw Pasteurise,"86,72"
39,Sauce - Soy Low Sodium - 3.87l,"10,04"
40,Tart - Butter Plain Squares,"124,64"
41,Sauce - Hp,"188,87"
42,Vinegar - Rice,"165,89"
43,Honey - Lavender,"158,02"
44,Rice - Long Grain,"106,56"
45,,
,Wasabi Paste,"61,20"
47,Brandy Apricot,"48,38"
48,Pepper - Sorrano,"27,28"
49,Lobster - Canned Premium,"147,76"
50,Olives - Nicoise,"55,45"
51,Wine - Rioja Campo Viejo,"105,26"
52,Table Cloth 62x120 White,"141,25"
53,Muffin Mix - Morning Glory,"103,57"
54,Lobster - Cooked,"73,51"
55,"Tarragon - Primerba, Paste","159,96"
,Wine - White Cab Sauv.on,"191,38"
57,Molasses - Fancy,"112,85"
58,Lid - 16 Oz And 32 Oz,"152,29"
59,Muffin - Banana Nut Individual,"129,52"
60,Daves Island Stinger,"57,03"
61,"Mushroom - Trumpet, Dry","90,50"
62,Cookies - Assorted,"86,98"
63,Arctic Char - Fillets,"162,19"
64,"Shrimp - Baby, Cold Water","53,50"
65,Ginger - Pickled,"80,50"
,Energy Drink - Redbull 355ml,"120,53"
,Chips - Potato Jalapeno,"111,54"
68,Toothpick Frilled,"138,01"
69,"Brandy - Orange, Mc Guiness","43,29"
70,"Leeks - Baby, White","168,22"
71,Soup - Campbells Beef Stew,"156,13"
72,Beer - Upper Canada Light,"106,58"
73,Wine - Ej Gallo Sonoma,"38,47"
74,Sugar - Palm,"191,79"
75,Daikon Radish,"181,22"
76,Pastry - Banana Tea Loaf,"184,04"
77,Huck White Towels,"26,34"
78,Appetizer - Cheese Bites,"84,49"
79,"Pasta - Linguini, Dry","104,07"
80,Foie Gras,"118,37"
81,"Pasta - Lasagne, Fresh","78,14"
82,Lettuce - Belgian Endive,"86,97"
83,Bagel - Everything,"155,89"
,Remy Red,"37,51"
,Chivas Regal - 12 Year Old,"183,14"
86,Pepper - Yellow Bell,"151,99"
87,Wheat - Soft Kernal Of Wheat,"154,02"
88,Laundry - Bag Cloth,"92,32"
89,Pepper - Red Chili,"97,76"
90,"Salt - Rock, Course","89,70"
91,"Soup - Canadian Pea, Dry Mix","71,78"
,Parasol Pick Stir Stick,"56,06"
93,Bandage - Fexible 1x3,"4,36"
94,"Juice - Tomato, 48 Oz","12,79"
95,Sole - Iqf,"31,65"
96,"Pasta - Tortellini, Fresh","177,40"
97,"Champagne - Brights, Dry","101,66"
98,Cilantro / Coriander - Fresh,"115,06"
99,Grand Marnier,"133,69"
100,Wine - Jaboulet Cotes Du Rhone,"11,68"
101,Corn Shoots,"122,85"
102,"Nut - Pine Nuts, Whole","144,30"
103,Wine - Rosso Toscano Igt,"19,89"
104,Galliano,"141,26"
105,Crackers Cheez It,"19,73"
106,Fond - Neutral,"67,10"
107,Lamb - Whole Head Off,"142,60"
108,Oven Mitts - 15 Inch,"61,38"
109,"Dill - Primerba, Paste","135,42"
110,Tamarillo,"98,80"
111,Carroway Seed,"23,43"
112,Wine - George Duboeuf Rose,"73,82"
113,Crab Meat Claw Pasteurise,"42,39"
114,Pie Shell - 9,"48,95"
115,Pepper Squash,"79,94"
116,Flour - All Purpose,"91,08"
117,"Clams - Littleneck, Whole","121,84"
,Blueberries,"187,95"
119,"Fish - Atlantic Salmon, Cold","52,24"
120,"Mustard - Dry, Powder","25,62"
121,Yeast Dry - Fleischman,"40,02"
122,Sauerkraut,"109,36"
123,Sauce - Roasted Red Pepper,"189,49"
124,Beer - Creemore,"111,64"
125,Kiwano,"23,50"
126,Jameson - Irish Whiskey,"175,21"
127,Squeeze Bottle,"5,39"
128,Veal - Eye Of Round,"78,26"
129,Puree - Mocha,"143,99"
130,Sobe - Berry Energy,"133,92"
131,"Pepper - Chillies, Crushed","91,40"
132,Rabbit - Whole,"163,66"
133,Wooden Mop Handle,"139,21"
134,Dasheen,"43,00"
,Beef - Ox Tongue,"184,32"
,Banana Turning,"68,52"
137,Sauce - Ranch Dressing,"47,33"
138,Versatainer Nc - 9388,"94,19"
,Coffee - French Vanilla Frothy,"100,10"
140,Plasticforkblack,"180,05"
,Flounder - Fresh,"188,44"
142,"Pork - Ham, Virginia","21,24"
143,Wine - Maipo Valle Cabernet,"116,81"
144,Pepper - Red Bell,"111,99"
145,Chocolate - Compound Coating,"146,73"
146,Wine - Jaboulet Cotes Du Rhone,"28,85"
147,Pepsi - 600ml,"118,31"
148,Spic And Span All Purpose,"85,18"
149,Beer - Muskoka Cream Ale,"58,00"
150,,
151,Brandy Cherry - Mcguinness,"98,54"
152,"Bar Mix - Pina Colada, 355 Ml","168,23"
153,Wine - Sauvignon Blanc,"130,01"
154,Clementine,"187,80"
155,Filling - Mince Meat,"91,24"
156,Sauce - Hoisin,"167,41"
157,Carbonated Water - Peach,"144,46"
158,Cornstarch,"106,53"
159,Straw - Regular,"164,86"
160,Steampan Lid,"174,06"
161,Bar - Sweet And Salty Chocolate,"74,50"
162,Beef - Ground Lean Fresh,"68,81"
,Crab Brie In Phyllo,"35,01"
164,"Sauce - Soya, Light","169,45"
165,Ice Cream Bar - Rolo Cone,"50,64"
166,Soup - Campbells Chili,"52,11"
167,"Onions - Dried, Chopped","89,84"
168,Hummus - Spread,"56,06"
169,Sterno - Chafing Dish Fuel,"119,71"
170,"Oregano - Dry, Rubbed","89,74"
171,Bread - Corn Muffaleta Onion,"184,05"
172,Onions - Cippolini,"89,85"
173,"Water - Spring Water, 355 Ml","102,00"
174,"Syrup - Golden, Lyles","166,82"
,Flower - Potmums,"184,96"
176,Numi - Assorted Teas,"33,26"
177,Appetizer - Lobster Phyllo Roll,"71,83"
,Bacardi Mojito,"55,88"
179,"Pasta - Fusili, Dry","53,48"
180,Bouillion - Fish,"152,99"
181,Cup - Paper 10oz 92959,"112,87"
182,Fond - Neutral,"10,10"
183,Icecream - Dstk Cml And Fdg,"83,81"
184,Macaroons - Homestyle Two Bit,"134,62"
185,Carroway Seed,"149,31"
186,"Pasta - Orzo, Dry","10,57"
187,Beef - Rib Eye Aaa,"102,85"
188,Lobster - Tail 6 Oz,"118,61"
189,Thyme - Fresh,"68,84"
190,"Bread - Sticks, Thin, Plain","37,47"
191,"Mushroom - Chanterelle, Dry","158,37"
,Hipnotiq Liquor,"2,16"
193,Pastry - Chocolate Marble Tea,"79,77"
194,Cheese - Mix,"137,68"
195,Soupfoamcont12oz 112con,"59,18"
196,"Chicken - Leg, Boneless","52,23"
197,Coffee - Ristretto Coffee Capsule,"161,72"
198,"Bread - White, Unsliced","120,62"
199,Cheese - Parmigiano Reggiano,"172,74"
200,Mussels - Cultivated,"184,80"
201,Wine - Taylors Reserve,"101,91"
